,serohikino_goshu.txt,kumono_ito.txt,souseki_AI.txt,ginga_tetsudono_yoru.txt,rashomon.txt,sorekara.txt,kokoro.txt
けれど,2.0,0.0,0.0,30.0,1.0,149.0,76.0
あんまり,2.0,0.0,0.0,3.0,0.0,16.0,6.0
いちばん,1.0,0.0,0.0,5.0,0.0,0.0,0.0
ボーボー,1.0,0.0,0.0,0.0,0.0,0.0,0.0
りんと,1.0,0.0,0.0,1.0,0.0,0.0,0.0
もう,22.0,5.0,1.0,104.0,4.0,130.0,90.0
ぱたっ,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ぴたり,2.0,0.0,0.0,0.0,0.0,8.0,3.0
しんと,1.0,1.0,0.0,0.0,0.0,0.0,3.0
少し,3.0,1.0,5.0,27.0,3.0,123.0,93.0
やっと,5.0,0.0,0.0,3.0,2.0,0.0,6.0
ほっと,1.0,0.0,0.0,1.0,0.0,0.0,2.0
また,27.0,2.0,1.0,56.0,6.0,21.0,276.0
ぱっ,4.0,0.0,0.0,3.0,0.0,2.0,0.0
わざと,2.0,0.0,0.0,3.0,0.0,27.0,20.0
ずいぶん,2.0,0.0,0.0,0.0,0.0,0.0,9.0
まげて,7.0,0.0,0.0,0.0,0.0,0.0,0.0
そして,9.0,0.0,7.0,41.0,0.0,0.0,0.0
かなり,2.0,0.0,0.0,0.0,0.0,0.0,1.0
どきっ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
すぐ,4.0,0.0,0.0,25.0,1.0,84.0,106.0
いきなり,12.0,0.0,0.0,13.0,2.0,4.0,1.0
どん,3.0,0.0,0.0,0.0,0.0,0.0,0.0
まるで,13.0,3.0,5.0,38.0,1.0,42.0,50.0
この,11.0,12.0,3.0,37.0,40.0,346.0,244.0
こんな,4.0,0.0,0.0,13.0,2.0,39.0,49.0
がさがさ,1.0,0.0,0.0,1.0,0.0,0.0,0.0
いったい,1.0,0.0,0.0,3.0,0.0,0.0,0.0
どう,22.0,2.0,2.0,40.0,7.0,206.0,179.0
さっぱり,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ぴたっ,2.0,0.0,0.0,3.0,0.0,0.0,0.0
しっかり,1.0,1.0,0.0,5.0,0.0,0.0,1.0
わが,1.0,0.0,0.0,0.0,0.0,11.0,0.0
まったく,1.0,0.0,0.0,5.0,0.0,0.0,1.0
かっきり,1.0,0.0,0.0,2.0,0.0,0.0,0.0
その,17.0,15.0,20.0,157.0,31.0,581.0,730.0
ぼろぼろ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
たった,2.0,1.0,0.0,4.0,0.0,10.0,14.0
巨きな,1.0,0.0,0.0,4.0,0.0,0.0,0.0
小さな,2.0,1.0,0.0,40.0,1.0,7.0,6.0
あの,2.0,0.0,7.0,15.0,0.0,30.0,16.0
ごつごつ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
